Genre	Artist
Genre5	 Concertgebouworkest
Genre2	Giacomo Puccini
Genre4	Suraiya
Genre5	Suraiya
Genre0	 New York Philharmonic
Genre2	 Richard Tucker
Genre4	Shamshad Begum
Genre2	Giuseppe Verdi
Genre2	 Arturo Toscanini
Genre4	Lead Belly
Genre2	 Richard Tucker
Genre4	Wolfgang Amadeus Mozart
Genre4	 Bruno Walter
Genre4	 Columbia Symphony Orchestra
Genre5	 Isaac Stern
Genre0	Johannes Brahms
Genre0	 Wilhelm Furtwängler
Genre0	 Wiener Philharmoniker
Genre0	 New York Philharmonic
Genre7	Aaron Copland
Genre7	 Wiener Philharmoniker
Genre2	Lead Belly
Genre7	Giacomo Puccini
Genre7	 Richard Tucker
Genre5	Charles Mingus
Genre0	 Andrés Segovia
Genre7	Giuseppe Verdi
Genre7	 Arturo Toscanini
Genre7	Giuseppe Verdi
Genre7	 Arturo Toscanini
Genre7	Giacomo Puccini
Genre7	 Richard Tucker
Genre2	Giuseppe Verdi
Genre2	 Arturo Toscanini
Genre7	 London Philharmonic Orchestra
Genre0	Suraiya
Genre4	Lead Belly
Genre0	Maurice Ravel
Genre0	 Pierre Monteux
Genre0	Wolfgang Amadeus Mozart
Genre0	 London Philharmonic Orchestra
Genre0	 Philharmonia Orchestra
Genre2	Lead Belly
Genre7	Giuseppe Verdi
Genre7	 Richard Tucker
Genre5	 Isaac Stern
Genre7	Giuseppe Verdi
Genre5	Amirbai Karnataki
Genre2	Geeta Dutt
Genre7	Bing Crosby
Genre7	Johannes Brahms
Genre7	 Isaac Stern
Genre4	Amirbai Karnataki
Genre7	Aaron Copland
Genre7	Alexander Scriabin
Genre7	 Pierre Monteux
Genre4	Aaron Copland
Genre5	Claude Debussy
Genre0	Ludwig van Beethoven
Genre0	 Claudio Arrau
Genre2	Shamshad Begum
Genre7	Giuseppe Verdi
Genre7	 Richard Tucker
Genre0	Erik Satie
Genre7	Suraiya
Genre0	 Andrés Segovia
Genre8	Эрнест Хемингуэй
Genre0	 London Symphony Orchestra
Genre8	Эрнест Хемингуэй
Genre2	Mohammed Rafi
Genre7	 Richard Tucker
Genre8	Эрнест Хемингуэй
Genre4	Geeta Dutt
Genre0	Leonard Bernstein
Genre2	 Richard Tucker
